RegionName,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
10012,3950.0,3997.0,3850.0,3999.0,3995.0,3825.0,3895.0,3995.0,3900.0,3900.0,3797.5,3795.0,3845.0,3845.0,3875.0,3995.0,4095.0,3972.5,3995.0,4000.0,3995.0,4000.0,3997.5,4000.0,3997.5,3984.0,3842.0,3997.0,3950.0,3900.0,4000.0,4195.0,4172.5,4250.0,4195.0,4329.0
10038,4300.0,4288.0,4385.0,4395.0,4400.0,4475.0,4637.5,4700.0,4650.0,4680.0,4400.0,4400.0,4375.0,4397.5,4385.0,4197.5,4400.0,4375.0,4200.0,4375.0,4500.0,4512.5,4519.0,4500.0,4700.0,4627.5,4413.0,4700.0,4695.0,4200.0,4615.0,4630.0,4400.0,4400.0,4775.0,4725.0
10030,2007.5,2182.0,2000.0,2250.0,2197.5,2200.0,2195.0,2200.0,2195.0,2200.0,2325.0,2350.0,2300.0,2150.0,2109.0,2190.0,2295.0,2200.0,2200.0,2299.0,2350.0,2375.0,2350.0,2350.0,2337.0,2200.0,2250.0,2250.0,2200.0,2227.0,2200.0,2300.0,2349.0,2299.0,2299.0,2299.5
10017,4200.0,4200.0,4200.0,3947.5,3981.0,4150.0,4150.0,4100.0,4212.5,4300.0,4200.0,4300.0,4200.0,3890.0,3665.0,3800.0,3995.0,4081.0,4395.0,4487.0,4497.5,4470.0,4340.0,4285.0,4225.0,4265.0,4287.5,4442.5,4500.0,4157.0,4240.5,4089.5,4062.0,4395.0,4395.0,4397.5
10039,,,,,,,,,,,,,,,,,,,,,,,,,2300.0,2150.0,2072.5,2175.0,2150.0,2162.5,2175.0,2300.0,2300.0,2250.0,2295.0,2295.0
10018,4690.0,4685.0,4645.0,4690.0,4685.0,4662.5,4340.0,4300.0,4325.0,4500.0,4632.5,4615.0,4685.0,4512.5,4600.0,4610.0,4612.5,4750.0,4880.0,4875.0,4840.0,4805.0,4907.5,4890.0,4890.0,4875.0,4835.0,4860.0,4935.0,4995.0,5140.0,4995.0,4722.5,4995.0,4995.0,4960.0
10005,5192.0,5250.0,5050.0,5294.0,5507.5,5495.0,5495.0,5695.0,5925.0,5997.5,5695.0,5595.0,5200.0,5135.0,5200.0,5128.0,5128.0,5395.0,5331.0,5527.5,5660.0,5645.0,5595.5,5545.0,5297.5,5097.5,5150.0,4995.0,5200.0,5409.0,5495.0,5595.0,5645.0,5595.0,5395.0,5295.0
10007,6870.5,6995.0,6595.0,7197.5,7495.0,7800.0,7295.0,7350.0,7245.0,6692.5,6655.0,6595.0,6505.0,6177.5,6595.0,6685.0,6595.0,6750.0,6995.0,6972.5,6945.0,6995.0,6595.0,6595.0,6979.5,7135.0,6995.0,6992.5,6820.0,6995.0,6990.0,6997.5,6990.0,7495.0,7095.0,6992.5
10006,,,,4750.0,4940.0,4940.0,5170.0,5165.0,4940.0,4960.0,4867.5,4815.0,4890.0,4920.0,4772.5,4795.0,4900.0,4775.0,4515.0,4835.0,4657.5,4835.0,4900.0,4800.0,4888.0,4792.5,4752.0,4867.5,4867.5,4857.5,4872.5,4565.0,4515.0,4900.0,4792.5,4565.0
10004,5495.0,5422.5,5350.0,5495.0,5390.0,5366.0,5350.0,5455.0,5372.5,5350.0,5522.5,5522.5,5571.0,5447.5,5350.0,5350.0,5550.0,5572.5,5522.5,5595.0,5422.0,5572.5,5595.0,5572.5,5495.0,5446.0,5495.0,5495.0,5350.0,5422.5,5595.0,5600.0,5595.0,5350.0,5350.0,5110.0
